model,types,filter,count,min,max,mean,std,bin_count,shannon_entropy,desequilibrium,complexity
meta-llama/Llama-3.1-70B,norm-other,0 sigma,68452360192,-126.0,92.5,-1.8892944350662418e-05,0.015305616480346992,27219820,7.156467914581299,0.0008972339564934373,0.006421026021518117
meta-llama/Llama-3.1-70B,norm-other,1 sigma,53897565275,-0.01531982421875,0.0152587890625,-2.569090940443452e-05,0.007893760165797735,4628,6.963351249694824,0.0008878378430381417,0.006182326753846001
meta-llama/Llama-3.1-70B,norm-other,2 sigma,67224283408,-0.030517578125,0.030517578125,-1.9262179462144414e-05,0.011649680604925085,7760,7.1350932121276855,0.0007859350880607963,0.005607720111995562
meta-llama/Llama-3.1-70B,norm-other,3 sigma,68318809926,-0.0458984375,0.045654296875,-2.3090364191249553e-05,0.012385931229287932,11527,7.175776958465576,0.0008023338741622865,0.005757368927210155
meta-llama/Llama-3.1-70B,norm-other,4 sigma,68413445549,-0.06103515625,0.06103515625,-2.2201647019340025e-05,0.012524848469852927,15205,7.1808552742004395,0.0008215638808906078,0.005899531327185903
meta-llama/Llama-3.1-70B,norm,0 sigma,1318912,-0.11865234375,3.359375,0.17605596005349702,0.15349816646354753,2504,5.134578704833984,0.007293406408280134,0.03744856922965489
meta-llama/Llama-3.1-70B,norm,1 sigma,1276376,0.0225830078125,0.328125,0.1683277830987646,0.06013596353903027,233,5.078851222991943,0.0035106525756418705,0.01783008212729853
meta-llama/Llama-3.1-70B,norm,2 sigma,1310027,-0.11865234375,0.482421875,0.1648967621728614,0.06479333180848777,432,5.094261169433594,0.005537517834454775,0.028209562079108963
meta-llama/Llama-3.1-70B,norm,3 sigma,1310630,-0.11865234375,0.6328125,0.1650718234826594,0.06529684752508953,540,5.097674369812012,0.005989878438413143,0.030534449793788276
meta-llama/Llama-3.1-70B,norm,4 sigma,1310720,-0.11865234375,0.76171875,0.16510653646837453,0.06542930464481624,633,5.102293014526367,0.006266131065785885,0.03197163676506598
meta-llama/Llama-3.1-70B,other,0 sigma,68451041280,-126.0,92.5,-2.2285547767273252e-05,0.015271380430875408,27321210,7.156207084655762,0.0008973624208010733,0.006421711313240486
meta-llama/Llama-3.1-70B,other,1 sigma,53774929342,-0.0152587890625,0.01519775390625,-2.5658623988130054e-05,0.007868958893676871,4617,6.961439609527588,0.0008897939696907997,0.006194246984924323
meta-llama/Llama-3.1-70B,other,2 sigma,67224242672,-0.030517578125,0.030517578125,-1.927057305805698e-05,0.011649676792198603,7790,7.135883331298828,0.0007861236808821559,0.0056096868707462555
meta-llama/Llama-3.1-70B,other,3 sigma,68317052245,-0.045654296875,0.045654296875,-2.196905470787126e-05,0.012383954714626194,11496,7.175402641296387,0.0008022146066650748,0.00575621280755112
