AVERAGE COMPLEXITY PER BIN COUNT RANGE
======================================================================

Bin Range Start      Bin Range End        Avg Complexity       Count     
378690.73            380337.18            0.00562315           1         
380337.18            381983.63            0.00578993           2         
381983.63            383630.08            0.00797840           1         
383630.08            385276.53            0.00793842           1         
385276.53            386922.98            0.00634892           1         
386922.98            388569.43            0.00634682           1         
388569.43            390215.88            0.00791408           1         
390215.88            391862.33            0.00790485           1         
391862.33            393508.78            0.00755416           1         
393508.78            395155.24            0.00750301           1         
395155.24            396801.69            0.00615691           1         
396801.69            398448.14            0.00614839           1         
398448.14            400094.59            0.00586447           1         
400094.59            401741.04            0.00584589           1         
401741.04            403387.49            0.00796054           1         
403387.49            405033.94            0.00797318           1         
405033.94            406680.39            0.00642937           1         
406680.39            408326.84            0.00642103           2         
408326.84            409973.29            0.00550164           1         
409973.29            411619.75            0.00642814           3         
411619.75            413266.20            0.00642171           2         
413266.20            414912.65            0.00641432           1         
414912.65            416559.10            0.00546555           1         
416559.10            418205.55            0.00641270           1         
418205.55            419852.00            0.00641953           3         
419852.00            421498.45            0.00641199           1         
421498.45            423144.90            0.00641191           1         
423144.90            424791.35            0.00641678           1         
424791.35            426437.80            0.00570444           2         
426437.80            428084.26            0.00822174           1         
428084.26            429730.71            0.00821468           1         
429730.71            431377.16            0.00803202           1         
431377.16            433023.61            0.00799258           1         
433023.61            434670.06            0.00613542           1         
434670.06            436316.51            0.00613515           1         
436316.51            437962.96            0.00615138           1         
437962.96            439609.41            0.00614806           1         
439609.41            441255.86            0.00338507           1         
441255.86            442902.31            0.00424700           1         
442902.31            444548.76            0.00416445           1         
444548.76            446195.22            0.00416712           1         
446195.22            447841.67            0.00927873           2         
447841.67            449488.12            0.00915924           1         
449488.12            451134.57            0.00915394           1         
451134.57            452781.02            0.00717135           1         
452781.02            454427.47            0.00705524           1         
454427.47            456073.92            0.00709057           1         
456073.92            457720.37            0.00716185           1         
457720.37            459366.82            0.10020250           2         
459366.82            461013.27            0.10021278           2         
461013.27            462659.73            0.09837975           1         
462659.73            464306.18            0.09835747           1         
464306.18            465952.63            0.09835754           2         
465952.63            467599.08            0.08824859           2         
467599.08            469245.53            0.08824297           2         
469245.53            470891.98            0.08753257           1         
470891.98            472538.43            0.08753231           1         
472538.43            474184.88            0.08748087           2         
474184.88            475831.33            0.00002619           1         

Overall weighted average: 0.01849976
Total data points: 2635
